Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit
1,P,AMD310,MINI PROJECT (AM),3,0-0-6,VIKRANT TIWARI,30
2,P,AMD811,MAJOR PROJECT PART-I,6,0-0-12,JAYANT JAIN,35
3,P,AMD812,MAJOR PROJECT PART-II,12,0-0-24,JAYANT JAIN,50
4,P,AMD813,MAJOR PROJECT PART-I,6,0-0-12,SITIKANTHA ROY,35
5,P,AMD814,MAJOR PROJECT PART-II,12,0-0-24,SITIKANTHA ROY,50
6,P,AMD895,MAJOR PROJECT,40,0-0-80,AJEET KUMAR,3
7,P,AMD897,MINOR PROJECT,4,0-0-8,K Vignesh Kumar,50
8,P,AMD899,DESIGN PROJECT,10,0-0-20,K Vignesh Kumar,20
9,C,AML701,ENGG. MATHEMATICS & MECHANICS,3,3-0-0,ARGHYA SAMANTA,40
10,D,AML713,APPLIED FLUID DYNAMICS,4,3-1-0,SAWAN SUMAN SINHA,90
11,J,AML732,SOLID MECHANICS,3,3-0-0,S. PRADYUMNA,40
12,E,AML733,DYNAMICS,3,3-0-0,SUHAIL AHMED,90
13,A,AML734,ADVANCED DYNAMICS,4,3-1-0,SUHAIL AHMED,50
14,F,AML751,MATERIALS FOR MARINE VEHICLES,3,3-0-0,Nitya Nand Gosvami,90
15,A,AML771,DECISION THEORY & DESIGN OPTIMIZATION,3,3-0-0,MALOY KUMAR SINGHA,60
16,A,AML791,SHIP RESISTANCE & PROPULSION,3,3-0-0,K Vignesh Kumar,40
17,B,AML792,STRUCTURAL DESIGN OF SHIPS.,3,3-0-0,Arun E,40
18,M,AML794,WARSHIP DESIGN,3,3-0-0,M P Mathew,30
19,H,AML805,ADVANCED FINITE ELEMENT METHODS,3,3-0-0,MALOY KUMAR SINGHA,30
20,AP,APL100,ENGINEERING MECHANICS,4,3-1-0,ANUPAM DEWAN,250
21,AM,APL100,ENGINEERING MECHANICS,4,3-1-0,PUNEET MAHAJAN,250
22,E,APL102,INTR.TO MATERIAL SC. & ENGG.,4,3-0-2,Suresh Neelakantan,400
23,B,APL103,EXPERIMENTAL METHODS,4,3-0-2,VIKRANT TIWARI,150
24,D,APL104,SOLID MECHANICS,4,3-1-0,AJEET KUMAR,150
25,F,APL106,FLUID MECHANICS,4,3-1-0,SANJEEV SANGHI,150
26,D,APL107,MECHANICS OF FLUIDS,5,3-1-2,S.V. VEERAVALLI,90
27,F,APL108,MECHANICS OF SOLIDS,5,3-1-2,SITIKANTHA ROY,120
28,E,APL700,EXPERIMENTAL METHODS,2,1-0-2,S.N. SINGH,75
29,A,APL701,CONTINUUM MECHANICS,3,3-0-0,Sushma Santapuri,105
30,B,APL703,ENGINEERING MATHEMATIC & COMP.,4,3-0-2,Arjun Sharma,90
31,A,APL710,COMPUTER AIDED DESIGN,4,3-0-2,SRIRAM HEGDE,90
32,F,APL753,PROPERTIES & SEL. OF ENGG MAT.,3,3-0-0,JAYANT JAIN,70
33,C,APL765,FRACTURE MECHANICS,3,3-0-0,RAJESH PRASAD,90
34,D,APL775,DESIGN METHODS,3,3-0-0,BADRI PRASAD PATEL,90
35,P,ASD390,MINOR AREA PROJECT,5,0-0-10,Sandeep Sahany,15
36,P,ASD881,PROJECT-I,6,0-0-12,KRISHNA MIRLE ACHUTARAO,12
37,J,ASL320,CLIMATE CHANGE: IMPACTS  ADAPTATION & MITIGATION,4,3-0-2,KRISHNA MIRLE ACHUTARAO,100
38,J,ASL350,INTRODUCTION TO OCEANOGRAPHY,3,3-0-0,VIMLESH PANT,100
39,M,ASL360,The Earth`s Atmosphere: Physical Principles ,3,3-0-0,SAROJ KANTA MISHRA,85
40,K,ASL730,INTRODUCTION TO WEATHER  CLIMA,1,1-0-0,SOMNATH BAIDYA ROY,20
41,D,ASL732,MATHEMATICAL AND COMPUTATIONAL,3,2-0-2,MAITHILI SHARAN,20
42,E,ASL733,PHYSICS OF THE ATMOSPHERE,3,3-0-0,MANJU MOHAN,50
43,H,ASL734,DYNAMICS OF THE ATMOSPHERE,3,3-0-0,S.K. DASH,100
44,B,ASL735,ATMOSPHERIC CHEMISTRY AND AIR,3,3-0-0,DILIP GANGULY,100
45,H,ASL761,EARTH SYSTEM MODELING,3,3-0-0,Sandeep Sahany,85
46,F,ASL762,AIR-SEA INTERACTION,3,3-0-0,A.D. RAO,100
47,P,ASP731,DATA ANALYSIS METHODS FOR ATMO,2,0-0-4,SOMNATH BAIDYA ROY,20
48,A,BBD451,MAJOR PROJECT PART 1 (BB1),3,0-0-6,SHILPI SHARMA,0
49,P,BBD851,MAJOR PROJECT PART 1 (BB5),6,0-0-12,SHILPI SHARMA,60
50,P,BBD852,MAJOR PROJECT PART 2 (BB5),14,0-0-28,SHILPI SHARMA,60
51,P,BBD853,MAJOR PROJECT PART 1 (BB5),4,0-0-8,SHILPI SHARMA,60
52,P,BBD854,MAJOR PROJECT PART 2 (BB5),16,0-0-32,SHILPI SHARMA,60
53,P,BBD895,MAJOR PROJECT,36,0-0-72,RITU KULSHRESTHA,50
54,F,BBL131,PRINCIPLES OF BIOCHEMISTRY,4.5,3-0-3,PRASHANT MISHRA,80
55,D,BBL132,GENERAL MICROBIOLOGY,4.5,3-0-3,SHILPI SHARMA,80
56,H,BBL133,MASS & ENERGY BALANCES IN BIO.,3,3-0-0,SHAIKH ZIAUDDIN AHAMMAD,80
57,D,BBL231,MOLECULAR BIOLOGY & GENETICS,4.5,3-0-6,PREETI SRIVASTAVA,80
58,B,BBL331,BIOPROCESS ENGINEERING,3,3-0-0,A.K. SRIVASTAVA,80
59,C,BBL731,BIOSEPARATION ENGINEERING,4.5,3-0-3,G.P. AGARWAL,80
60,B,BBL732,BIOPROCESS PLANT DESIGN,4,3-0-2,T.R.SREEKRISHNAN,80
61,D,BBL733,RECOMBINANT DNA TECHNOLOGY,3.5,2-0-3,RITU KULSHRESTHA,80
62,H,BBL734,METABOLIC REGULATION AND ENGG.,3,3-0-0,Ashish Misra,80
63,D,BBL735,GENOMICS AND PROTEOMICS,3,2-0-2,D.SUNDAR,60
64,K,BBL737,INST. & ANA. METH. IN BIOENGG.,3,2-0-2,SAROJ MISHRA,80
65,H,BBL741,PROTEIN SCIENCE & ENGINEERING,3,3-0-0,SAROJ MISHRA,60
66,F,BBL743,HIGH RESOLUTION METHODS IN BI.,3,2-0-2,RAVI KRISHNAN ELANGOVAN,60
67,H,BBL750,GENOME ENGINEERING,3,2-0-2,PREETI SRIVASTAVA,20
68,J,BBL810,Enzyme and Microbial technology,3,3-0-0,V.S. BISARIA,40
69,H,BBL820,Downstream Processing,3,3-0-0,SUNIL NATH,40
70,H,BBL830,Microbial Biochemisry,3,3-0-0,SHILPI SHARMA,40
71,L,BBL850,Advanced Biochemical Engineering,5,3-0-4,ATUL NARANG,40
72,NM,BBN101,INTRODUCTION TO BIOCHEM. ENGG.,1,0-0-2,ATUL NARANG,80
73,P,BBP332,BIOPROCESS ENGINEERING LAB,1.5,0-0-3,A.K. SRIVASTAVA,80
74,P,BBP840,Laboratory techniques in Microbial Biochemistry,2,0-0-4,ATUL NARANG,40
75,P,BBQ301,SEMINAR COURSE - I,1,0-0-2,Ashish Misra,20
76,P,BBQ302,SEMINAR COURSE - II,1,0-0-2,P.K. ROYCHOUDHURY,20
77,P,BED800,MAJOR PROJECT,40,0-0-80,RITU KULSHRESTHA,50
78,A,BMD742,Minor Biodesign Project,4,0-0-8,AMIT MEHNDIRATTA,20
79,H,BML720,MEDICAL IMAGING,3,3-0-0,AMIT MEHNDIRATTA,50
80,K,BML770,FUNDAMENTALS OF BIOMECHANICS,3,3-0-0,DINESH KALYANASUNDARAM,31
81,X,BML800,RESEARCH TECHNIQUES IN BIOMEDICAL ENGINEERING,3,3-0-0,SNEH ANAND,20
82,K,BML810,TISSUE ENGINERING,3,3-0-0,NEETU SINGH,40
83,J,BML830,BIOSENSOR TECHNOLOGY,4,3-0-2,SANDEEP KUMAR JHA,12
84,M,BML850,Cancer : Diagnosis and Therapy,3,3-0-0,Jayanta Bhattacharyya,40
85,P,BSD895,MAJOR PROJECT(MSR),36,0-0-72,SAIF KHAN MOHAMMED,20
86,P,CEC410,COLLOQUIUM (CE),3,0-3-0,SHASHI MATHUR,104
87,P,CED310,MINI PROJECT (CE),3,0-0-6,BABU J.ALAPPAT,2
88,P,CED411,MAJOR PROJECT PART 1 (CE),4,0-0-6,BABU J.ALAPPAT,103
